フェアウエルさよならしてもは、|おかあさん?と?いっしょ|の番組中で歌われた歌。	形容詞-*	いっしょの
宇宙人から「巨人だ！」と大騒ぎされた事から、|しずか|に「見た？ボクのこと「巨人」だって」と喜んでいた。	形容詞-*	しずかに
ろけっとは、|たま|のメジャー５ｔｈアルバム。	形容詞-*	たまの
当時としては珍しい|アコースティック?な|音楽で注目を集めた。	形容詞-*	アコースティックな
２０１３年７月、|コミコン・インターナショナル|でトム・ヒドルストンがロキに扮して観客の前に登場し、映画のフッテージを紹介した。	形容詞-*	インターナショナルで
残機がなくなると|ゲームオーバー|だが、オートセーブ機能があり、次回プレイ時はクリアしたステージから開始することができる。	形容詞-*	オーバーだ
なお、最終ステージをクリアすると最初に戻り、|ゲームオーバー|になるまで無限ループする。	形容詞-*	オーバーに
マリオのＨＰが０になると|ゲームオーバー|になる。	形容詞-*	オーバーに
それから２年後、|１?９?８?０?年?全?豪?オープン|でウォーウィックは男子シングルス・男子ダブルスの２部門に決勝進出を果たした。	形容詞-*	オープンで
プチンツェワは|２?０?１?２?年?全?仏?オープン|でシニアの４大大会予選に初挑戦した。	形容詞-*	オープンで
５月の|マドリード?・?オープン|には３年ぶりに出場すると、決勝でマレーを破って５年ぶりの優勝。	形容詞-*	オープンに
原田自身も大胆に化粧を施し、|オリエンタルな|コスチュームでビジュアルにも拘った。	形容詞-*	オリエンタルな
３月には同年から開催された|ワールド?・?ベースボール?・?クラシック|でオランダ代表の監督を務めた。	形容詞-*	クラシックで
更に１０月中旬、|シャープ|やソニー自身での回収が発表された。	形容詞-*	シャープや
ＭＥＧＡＱＵＡＫＥ巨大地震は、|ＮＨＫ?スペシャル|で放送された巨大地震について取り扱うシリーズ企画。	形容詞-*	スペシャルで
電車＆バスで行く！すごろくの旅は、テレビ東京の|土曜?スペシャル|で放送されているレギュラー企画である。	形容詞-*	スペシャルで
入団当初は|オーバー?スロー|だったがサイドスローに転向。	形容詞-*	スローだった
歌声は|ハスキー|で太く、オペラの歌唱法に強い影響を受けたビブラートが持ち味。	形容詞-*	ハスキーで
このジェームスこそが|Ｍｒ?．?ビッグ|である。	形容詞-*	ビッグである
市内には|アンネ?・?フランク|に献げた博物館もある。	形容詞-*	フランクに
６月７日より、バンドリーダーの後任は|リッキー?・?マイナー|になった。	形容詞-*	マイナーに
４歳まで同州|フォンデュラク|で過ごし、その後カリフォルニア州ターロックに移り住んだ。	形容詞-*	ラクで
筋金入りの|リベラル?で|民主党支持者としても知られている。	形容詞-*	リベラルで
来年のジ・オープンを見てくれ」とコメントして、翌年の|セント?・?アンド?ルーズ|での大会で、３度目で最後の全英オープン制覇を有言実行した。	形容詞-*	ルーズで
高性能で|レア|なものほど高額のＲＰを必要とするが、パーツごとに決められた額のＲＰを支払いさえすれば、敵から奪えないものはない。	形容詞-*	レアな
基本的には|関西?ローカル|だが、山陽放送・ＧＡＯＲＡでも放送されていた。	形容詞-*	ローカルだ
また、|関西?ローカル|のテレビ番組への出演が増加。	形容詞-*	ローカルの
中学校一年生でギターを始め、ＨＲ／ＨＭ全盛期の中、|ザック?・?ワイルド|に憧れる。	形容詞-*	ワイルドに
