殿様の語りは、なぜか次第に|厄?祓い|の口上になり、	名詞-地名	いの
いわゆる|惣?構え|となっていた。	名詞-普通名詞	えと
現在は、公式イラストレーターとして|らぐほのえりか|を起用、らんらんのおめかしスタイルという別衣装も公開されている。	名詞-普通名詞	てら
表面は深緑で|つや|がある。	名詞-サ変名詞	でつや
なお、山形銀行系列の|やまぎん?カード?サービス|とは関係が無い。	名詞-普通名詞	のやま
ほとんどの中華そば屋には早寿司と同じく|ゆで?卵|が置かれている。	名詞-普通名詞	ゆで卵
その後独立した自治体となり、スペイン首座大司教である|トレド?大?司教|の支配を受けた。	名詞-地名	トレド大
「方舟」は、日本の|漫画?家|岸大武郎による７９頁のＳＦ漫画。	名詞-地名	家岸
日本将棋連盟|奨励?会|元三段。	名詞-普通名詞	会元
島川崇は日本の|観光?学?者|。	名詞-普通名詞	学者
その他、|吹奏?楽?部|、ロボット部なども活動している。	名詞-普通名詞	楽部
フィリップ・ベーカーとして|クエーカー?教?徒|の家に生まれた。	名詞-普通名詞	教徒
当時、勤労者を対象とした健康保険制度はあったが、農漁業、|自営?業?者|を対象とした健康保険制度はまだ無かった。	名詞-普通名詞	業者
特に|靴?紐|を結ぶときに多用され、通常通りに蝶結びを結んだあと両側のループをひと結びしておくとほどけにくくなる。	名詞-普通名詞	靴紐
蓮田の身体は一旋回すると、一尺ほど|血?潮|を吹き上げながらねじれて大地に倒れ絶命した。	名詞-普通名詞	血潮
現役中から|山梨?県?庁|職員を務め、１９５７年の引退後は後進の指導に手腕を発揮した。	名詞-普通名詞	県庁
埼玉県こども動物自然公園は、埼玉県東松山市岩殿にある|埼玉?県?立|の動物園である。	名詞-普通名詞	県立
|元?新東宝|のプロデューサーだった望月利雄が真岡郵便電信局事件の映画化を立案。	名詞-地名	元新
マフラーの主要構造に使われる材質には鋼管や鋼板、場合によっては|ステンレス?鋼?材|が用いられることが多い。	名詞-普通名詞	鋼材
父ニジンスキーは最後の|イギリスクラシック?三冠?馬|で、母フォアシアーはアメリカで走り３勝を挙げた競走馬である。	名詞-普通名詞	三冠馬
濃縮液を５倍の濾過した水と混ぜ、飲料を|炭酸?化|する。	名詞-サ変名詞	酸化
乙支路入口駅は大韓民国|ソウル?特別?市|中区乙支路１街にある、ソウルメトロ２号線の駅。	名詞-地名	市中
籬笆房駅とは中華人民共和国|北京?市|房山区に位置する北京地下鉄房山線の駅である。	名詞-地名	市房
また、幽斎の菩提所として忠興により|大徳?寺|山内に建立された塔頭が高桐院である。	名詞-地名	寺山
墓所は|寛永?寺|津梁院。	名詞-地名	寺津
明治４年伏見区|宝塔?寺|内自得院主・小林三光に預けられ、漢籍を中心とした教育を受ける。	名詞-地名	寺内
薩摩藩士として、|鹿児島?城|下平之馬場に生まれる。	名詞-人名	城下
国立波方海上技術短期大学校は、|独立?行政?法人|海技教育機構所管の船員養成のための施設。	名詞-普通名詞	人海
このインデックスデータベースとウェブページのキャッシュのサイズは|数?テラ|バイト|にも及ぶ。	名詞-数詞	数テラ
スペクトル密度は、定常過程に関する|周波?数?値|の正実数の関数または時間に関する決定的な関数である。	名詞-普通名詞	数値
またペルシア７曜神では|火星?神|とされる。	名詞-普通名詞	星神
地域東端を旧|大和?川|本道である長瀬川が流れており、南西に府営久宝寺緑地を擁している。	名詞-地名	川本
最寄駅は東京メトロ東西線竹橋駅で、首都高速５号|池袋?線|一ツ橋出入口も近い。	名詞-普通名詞	線一
内湾・浅海の砂泥底に直径数ｃｍ・深さ数十ｃｍほどの|巣?穴|を掘り、つがいで生息する。	名詞-普通名詞	巣穴
産卵期には|大?雨|の日に群れをなして河川を遡上することから、アメノウオともよばれる。	名詞-普通名詞	大雨
東斜面にはすり鉢状の|圏谷|地形がある。	名詞-普通名詞	谷地
|長州?藩?医|・赤川玄悦の長男として生まれた。	名詞-組織名	長州藩
田園都市会社の鉄道事業計画は目黒蒲田電鉄へ分離されて、目黒－|蒲田|間の鉄道建設が行われた。	名詞-地名	田間
この映像は、ファンからエキストラを募って、２０１２年１２月２６日に、|東京?都?内|某?所|で撮影された。	名詞-普通名詞	都内某所
その年の１２月２６日に竣工し、１９６４年１１月|２?３?日|付け|で黒海艦隊に編入された。	名詞-普通名詞	日付け
左右の|肛?甲板|の間にはごく浅い切れ込みが入る。	名詞-普通名詞	板の間
かつては|伝染?病?棟|も存在したが現在は廃止されており、旧伝染病棟は別目的に転用されている。	名詞-普通名詞	病棟
しかし、|電波?法令|上は両側波帯については全搬送波・抑圧搬送波を区別しないので、送信電力上で不利な扱いを受ける。	名詞-普通名詞	法令
「条」は|棒?状|の細長い形状を指す。	名詞-普通名詞	棒状
線型符号は、|伝送?路|上を記号列を転送する方法に適用される。	名詞-普通名詞	路上
その後、蜀軍に攻められ夏侯楙と共に|羌?族|の部落へ逃亡してしまう。	名詞-普通名詞	羌族
