「|山𤢖|」とは本来、中国に伝わる妖怪の名である。	未定義語-その他	𤢖」
孫炎は「劉宣がもし漢武の世にあったならば、|金?日磾|以上となっただろう」と、しばしば感嘆した。	未定義語-その他	磾以
２００５年に浙江省体育局と|広厦?控股?創業?投资?有限?公司|が協力し、浙江広厦猛獅籃球倶楽部を設立。	未定義語-その他	资有
録音可能形式はＭＰ３／ＭＰ４／|ＡＡＣ|／ＦＬＶ／ＷＡＶ。	未定義語-その他	ＡＡＣ／ＦＬＶ／ＷＡＶ
テレビ放送ではエロチックな部分やグロテスクな部分が湯気や影によって修正されているが、|ＢＤ|／ＤＶＤでは解禁されている。	未定義語-その他	ＢＤ／ＤＶＤ
エクササイズに使用される|ＣＤ|／ＤＶＤにもＺＩＮがタイトルに使用され、２０１４年にＺＩＮ５０が追加された。	未定義語-その他	ＣＤ／ＤＶＤ
|ＳＨＭ|仕様も同時発売。	未定義語-その他	ＣＤ／ＳＨＭ
担当声優は|ドラマ?ＣＤ|／ＴＶアニメの順。	未定義語-その他	ＣＤ／ＴＶ
オープニングは実写と|３?Ｄ|ＣＧ|の合成で、エンディングはクレイアニメ風のＣＧである。	未定義語-アルファベット	ＤＣＧ
ＭＡＫＯＴＯは、日本の|ＤＪ|／作曲家である。	未定義語-その他	ＤＪ／
コンプレックスとは、ハードコアテクノ、特にスピードコアの|ＤＪ|／プロデューサーである。	未定義語-その他	ＤＪ／
１９９３年４月２１日に|東芝?ＥＭＩ|／イーストワールドからリリースされた。	未定義語-その他	ＥＭＩ／
ポジションは|ＦＷ|／ＭＦ。	未定義語-その他	ＦＷ／ＭＦ
また、リヴリアはナリタタイシンという|ＪＲＡ|Ｇ１優勝馬を出した。	未定義語-アルファベット	ＪＲＡＧ
パワートレーンは３，０００ｃｃ|Ｖ?型|６?気筒|ＤＯＨＣエンジンと６速ＡＴの組み合わせのみで、駆動方式もＦＦのみであった。	未定義語-アルファベット	ｃｃＶ
２０１５年８月２６日に発売された|Ｂｌｕ－ｒａｙ|ＢＯＸで、劇場公開された『ＤＥＡＴＨ』編が収録された。	未定義語-アルファベット	ｒａｙＢＯＸ
２００２年には、ポニーキャニオンの第１１期「ファイブスターガール」に選ばれ、１ｓｔ|ＤＶＤ|「ひろいもの」をリリース。	未定義語-アルファベット	ｓｔＤＶＤ
芋ケンピは、小麦粉を使った和菓子の|けんぴ|とは主原料も製法も全く異なるが、派生して作られたとされている。	未定義語-その他	ぴと
局のキャラクターはゆっちゅと|めっぴ|とエチュー。	未定義語-その他	ぴと
キッズｇｏｏアイランドに住まうナガミミ族の小学５年生で、メインヒロイン・|ちょっぴ|のいとこ。	未定義語-その他	ぴの
