また、２０１３年５月２８日放送分から|らじる★らじる|でも全国に向けて放送を開始した。	副詞-*	からら
『リストラマン太郎』は|たかもちげん|による日本の漫画作品。	副詞-*	げんに
その時期、『Ｏｈ！デカナイト』の企画で|久保?こーじ|と組み「荒川ラップブラザーズ」のクレジットでラップのＣＤを出している。	副詞-*	じと
そののち、２００５年からはＣＩ導入により、イメージキャラクターを|ぴぴたん|に変更。	副詞-*	たんに
１０月７日９日の例祭は|長崎?くんち|として有名である。	副詞-*	ちと
この作品より花組トップスターの真矢は|千?ほさち|とコンビを組んだ。	副詞-*	ちと
しかし平日は小学校行事などの団体客で占められて閑散としていたため、|西?武園?ゆうえんち|と同じく平日は水曜木曜が休園日であった。	副詞-*	ちと
ネタには、双子なのに名前がかなり違うこと、|ザ?・?たっち|と比べられることなど自虐的なことを盛り込んだ「双子の卒業式」などがある。	副詞-*	ちと
司会の松浦紗知子が、解説の|なべっち|とパチンコの新台を打ちながら、リーチ演出などを紹介する。	副詞-*	ちと
１分以内に飛んだのは柴田と|ＫＡＢＡ．?ちゃん|と松井絵里奈の３人。	副詞-*	ちゃんと
２０１２年３月２８日に|神聖かまって?ちゃん|とのシングル「夢のＥＮＤはいつも目覚まし！」をリリースした。	副詞-*	ちゃんと
イメージマスコットは、|ペコ?ちゃん|とポコちゃん。	副詞-*	ちゃんと
２０１０年現在では監督の遠藤汐と|牧?だいきち|ら主要スタッフが、代表者１名を残して離脱・離散した状態にある。	副詞-*	ちら
１９５０年、|坊城?としあつ|と結婚。	副詞-*	つと
『ひみつのアッコちゃん』で共演した|こおろぎ?さとみ|に関西弁を教えたこともあった。	副詞-*	とみに
ナレーションは、放送開始当初は石井自ら担当、後に|つボ?イノリオ|が務めた。	副詞-*	につ
『スプリガン』の|たかしげ?宙|が原作として参加した回がある。	副詞-*	のた
現在は元リスナーである|ふぃべ|と２人でのトークがメインである。	副詞-*	べと
『ＨＡＵＮＴＥＤじゃんくしょん』は|夢来鳥?ねむ|による漫画作品、及びそれを原作としたアニメ。	副詞-*	むに
