なお、後述するようにパイオニアの工場や|ＮＥＣ|子会社の工場が閉鎖され、地元での働き口が減っているという懸念もある。	名詞-固有名詞	Ｃ子
復帰狂言『お祭』は、|大?向う|の「待ってました！」掛け声の後に役者が「待っていたとはありがてえ」という、復帰にからめたお馴染みのもの。	名詞-固有名詞	うの
同じ系列事務所のＡＶ女優|中山?りお|とは親友で共演作も多い。	名詞-固有名詞	おとは
元々、作者の|つだ?みきよ|と影木栄貴は、古くから親交があり、『続・革命の日』の背景などを影木が手伝うこともあった。	名詞-固有名詞	きよと
戦後、すでに織り方もわからなくなっていた風通織を染織家|吉田?たすく|が苦心の末復活させる。	名詞-固有名詞	くが
アダルトアニメ事業については、２００７年に撤退した|ゑにっく|の事業を全面継承。	名詞-固有名詞	くの
関西漫才を代表する夢路いとし・喜味こいしの|喜味?こいし|の次女。	名詞-固有名詞	こいしの
また、|中?出し|の方法も選択することが可能である。	名詞-固有名詞	しの
テーマソングは|山崎?まさよし|の「メヌエット」。	名詞-固有名詞	しの
この作品は、|住井?すゑ|の『橋のない川』でも取り上げられ、誠太郎をはじめとする登場人物の間で話題に上っている。	名詞-固有名詞	すゑの
なお、この問題は|住井?すゑ|の『橋のない川』に「”路”部落強制移転事件」として描かれている。	名詞-固有名詞	すゑの
これを見ていた|なべ?おさみ|が、後年『シャボン玉ホリデー』での当たり役、キントト映画の監督のモデルとした。	名詞-固有名詞	たなべ
四国中央市と|うま?農業?協同?組合|、地域の民間の出資で設立された第三セクター。	名詞-固有名詞	とうま
同１１月号からは表紙を少女マンガ的な|かがみ?あきら|に変更、劇画色を完全に払拭した。	名詞-固有名詞	なかがみ
１９９０年代に|ほんま?りう|の作画でコミカライズされている。	名詞-固有名詞	にほん
天理三輪講はほんみち信者の勝ヒサノが１９３３年に|ほんみち|より独立して興した宗教団体。	名詞-固有名詞	にほん
『ぷっちぐみ』Ｖｏｌ．８掲載分までは春日あかね、『ぷっちぐみ』Ｖｏｌ．９掲載分からは|つきり?のゆみ|が執筆。	名詞-固有名詞	はつ
伊能は|つまようじ|の溝彫り職人である名匠、山手川倉之助のもとで修行を行うが、新たなる旅立ちを決意し上京する。	名詞-固有名詞	はつ
２００４年には|なみき?たかし|による『椋尾篁アニメーション美術画集』が１０年の歳月を経て完成。	名詞-固有名詞	はな
イラストレーターの|えいひ|は妹。	名詞-固有名詞	ひは
このことから、ＡＶ雑誌などでは２００８年５月頃に|時東?ぁみ|と対比して「元祖めがねっ娘」などと紹介されている。	名詞-固有名詞	みと
私生活では、２００６年に芥川賞作家の|伊藤?たかみ|との結婚が発表されていたが、２００８年に一部雑誌で離婚が報じられる。	名詞-固有名詞	みと
同じく漫画家の|道原?かつみ|とは小学校の同級生。	名詞-固有名詞	みと
貝殻や魚の骨が一定量出土し、骨のなかには|もり|や魚つりのための釣り針に加工されたものも見られる。	名詞-固有名詞	もりや
