ただ、駅前にあった|まるみつ?百貨店|が閉店した	動詞-一般	あったまる
いて座τ星は、黄道十二星座である|てい?座|の南側にある３等級の恒星である。	動詞-一般	あるい
また作詞・作曲を担当したエンディング『どびびぃーんセレナーデ』は山本によく似た声質の歌手である|きたむら?けん|が歌唱している。	動詞-一般	あるき
同番組の準レギュラーでもある|きただに?ひろし|は、レギュラーメンバーを除き最も出演回数が多い。	動詞-一般	あるき
同じころに大奥勤めをしていた|ませ|は姪にあたる。	動詞-一般	いたま
黒い|てるてる?坊主|のような外見をしたポケモン。	動詞-一般	いてる
しかし、エンジンの始動が困難で乗客も加わり|押し?がけ|しなければならず延発も頻繁であった。	動詞-一般	けし
お菓子ボーイ宮田に代わり、番組初の女性キャラクター|まぁこ|が、ちょいバタ少女隊お菓子ガールとして新加入。	動詞-一般	こが
続いて１４代目歌のおねえさん|しゅう?さえこ|が「しゃぼんだまいっぱい」を歌って登場した。	動詞-一般	こが
日本水彩連盟創設者の一人|春日部?たすく|もその一人。	動詞-一般	すくも
尚、『東京日野リトル・シニアリーグ』の２学年上には、|ねづっち|がいた。	動詞-一般	ちがい
多汁の草本で、茎は|つる|または地上を這う。	動詞-一般	つるま
ただし、パーソナリティの谷村新司と|ばんば?ひろふみ|の関係で、大阪地区は金曜日のみ、ネット局の朝日放送が別内容を放送した。	動詞-一般	とば
『戦極姫２戦乱の世、群雄嵐の如く』とは２０１０年２月１９日に|げーせん?１?８|から発売されたアダルトゲーム。	動詞-一般	にげ
２０１０年、ＡＳＯＢＩＳＹＳＴＥＭ主催レジデントに|やつい?いちろう|を迎えたパーティＡＳＯＰＡＲＡレギュラー参加。	動詞-一般	にやつい
２０１１年１２月よりの|きゃりーぱみゅぱみゅ|が出演する「豆しぱみゅぱみゅ」のＣＭが展開。	動詞-一般	のきゃ
ちなみに全話において、漫画家・イラストレーターの|せたのりやす|がカバー絵や挿絵などのビジュアルを担当している。	動詞-一般	のせ
キャラクターデザインは漫画家の|せがわまさき|。	動詞-一般	のせ
学生時代のゲームセンター通いから漫画家の|せたのりやす|や見田竜介との交流・アシスタント経験から漫画活動を開始。	動詞-一般	のせ
窃視症とは、裸体などを|のぞき|見ることによって性的快感を得ること、その症状。	動詞-一般	のぞき見る
元妻は、シャンソン歌手の|びしょっぷ?節子|。	動詞-一般	のび
紫川流域は上流部は現在の|ます渕?ダム|付近および日田彦山線呼野駅付近から、下流は河口に至るまでほぼ全て浸水した。	動詞-一般	のます
かつては|いろは?樋|を渡って、旧宗岡村にも水を送っており、いろは通りの歩道側には暗渠が現在も残ってる。	動詞-一般	はいろ
日常的には|かすかべ?防衛?隊|のメンバーである、風間トオル、桜田ネネ、佐藤マサオ、ボーちゃんらと遊んでいる描写がほとんどである。	動詞-一般	はかす
キャラクターデザインは|かっしー|。	動詞-一般	はかっ
会場は|かるぽーと|及びその周辺。	動詞-一般	はかる
原作はＰＥＡＣＨ－ＰＩＴ、漫画は|かるき?春|が担当。	動詞-一般	はかる
所属芸能事務所は|げんしじん?事務?所|。	動詞-一般	はげん
草食性の動物は|こぶ?胃|を利用して反芻したり、ウサギのように盲腸糞から摂取する方法をとっている	動詞-一般	はこぶ
近年、さまざまなずんだ料理や新製品の開発が進み、甘味のものは|ずんだ?スイーツ|と括られるようになってきた。	動詞-一般	はずん
かつては駅事務所には|せたまる|発売機が併設されており、ＩＣカード式の回数券と定期券が購入できた。	動詞-一般	はせ
せたまる廃止前までは|せたまる|定期券・回数券の読み取り機も設置されていたが、せたまる廃止後に撤去されている。	動詞-一般	はせ
通夜には|たかたかし|、杉本眞人、長良じゅん、小西良太郎などの多くの音楽関係者が出席した。	動詞-一般	はたか
ソケイやマツリカ、シロモッコウなどは|つる?植物|であるので、支柱が必要である。	動詞-一般	はつる
限定版には|ねんどろいど|シャロ、オリジナルサウンドトラック、ヴァイスシュヴァルツＰＲカードセット、描き下ろし外装箱が入っていた。	動詞-一般	はねん
ＴＶサイズの完パケ提出が昨年末だったのですが、年末には|まりや|のライブがあったので、その合間に書くことになりました。	動詞-一般	はまり
カバー装画・口絵・挿画は|まりお?金田|。	動詞-一般	はまり
カバーイラストは、路線変更前は|まるごと?林檎|が、変更後は六条麦が担当していた。	動詞-一般	はまる
第三回は|まるも?亜希子|、河口まなぶ、片岡英明が就任。	動詞-一般	はまる
２日にわたって行われ、１日目である８月１４日には|やっさいもっさい|が、２日目となる８月１５日には花火大会が開催される。	動詞-一般	はやっ
彼女は|やらせ?問題|で評判を落としており、名誉挽回の機会としようとしていた。	動詞-一般	はやら
２０００年代後半からは|らき☆すた|、けいおん！などの女性キャラクターが中心のアニメが登場した。	動詞-一般	はら
今も|たたら?製鉄|所跡が残っている。	動詞-一般	もた
また、アニメ放映中には宮田以外にも|つはらよしあき|、あもん桂作画による別バージョンも連載されていた。	動詞-一般	もつ
また、いわゆるゆるキャラとしてひこにゃんや|せんと?くん|との対面なども行われている。	動詞-一般	やせん
このコントではオーディションに来た女性役として声優の森田千明や|むた?あきこ|が出演している。	動詞-一般	やむ
漫画版の脚本・キャラクターデザインは白組、漫画は|しなの?ゆら|がそれぞれ担当している。	動詞-一般	ゆらが
２０１３－１４シーズンより|つくば?ロボッツ|に所属。	動詞-一般	よりつく
また、バス利用により|つくば?エクスプレス|柏の葉キャンパス駅の利用も可能。	動詞-一般	よりつく
セリエＡでもゼーマンの門下生デリオ・ロッシ、|パスクアーレ?・?マリーノ|ら若手監督が攻撃サッカーを実践している。	動詞-一般	ノら
門弟には、『一遍聖絵』を遺した異母弟ともいう聖戒や２歳年上の|他阿|らがいる。	動詞-一般	阿ら
ｔｕｔｕは声優の|門脇?舞以|とのユニットである。	動詞-一般	以と
以上の一連の戦いの終わり頃に、近江国では味方の|村国?男依|らが前進をはじめた。	動詞-一般	依ら
このことで所謂|ふつおた|の投稿が多かった。	動詞-一般	謂ふ
従兄弟は袁基・袁術・|袁遺|ら。	動詞-一般	遺ら
やがて遊歴の旅に出て、天保４年４月、３０歳の時、田原に帰郷中だった渡辺崋山を訪ね、|山本?梅逸|らの諸先人の絵について語り合う。	動詞-一般	逸ら
後に|崔逸|らとともに朝儀の制定に参与した。	動詞-一般	逸ら
長男貞雄、次男|織田?信因|ら五男五女あり。	動詞-一般	因ら
如蘭塾は１９４３年５月３日に開塾式が行われ、その際には佐賀県知事や旧藩主鍋島家当主で侯爵の|鍋島?直映|ら約５００人が参列した。	動詞-一般	映ら
１９３２年に|八十島?外衛|らと共に新交響楽団を離れ、横浜交響楽団の旗揚げに踏み切った。	動詞-一般	衛ら
さらに同じく旧自由党員であった|今幡?西衛|らと板垣家親戚・自由党旧知を代表して舞台協会に行き上演の取りやめを申込んだ。	動詞-一般	衛ら
ついにはコミッショナーの|金子?鋭|がベンチの上田のところまでに出向き「コミッショナーの私がこうして頭をさげる。	動詞-一般	鋭が
２０１０年３月を以って、|宇野?悦加|ら他のキャスターらとともにＮＨＫ岐阜を“総退職”した。	動詞-一般	加ら
１９９３年、サンフレッチェ広島ユース一期生として入団、同級生は|原田?紘介|ら。	動詞-一般	介ら
明治１８年に埼玉県会議員改選に当選し、矢部忠右衛門・|堀越?寛介|らと「埼玉倶楽部」を結成。	動詞-一般	介ら
第４回|したまち?コメディ?映画?祭?ｉｎ?台東|のオープニング作品として、２０１１年９月１７日ワールドプレミア上映が行われた。	動詞-一般	回し
後半３７分、|川口?能活|からのロングフィードを田中マルクス闘莉王が頭で前線に落とすと、三浦知良がこれに反応。	動詞-一般	活から
家斉の死後、その側近政治は幕政の実権を握った水野忠邦に否定されて、旗本・|若年?寄|ら数人が罷免・左遷される。	動詞-一般	寄ら
父親の秀吉はハンドボール監督で、弟の|秀希|もハンドボール選手。	動詞-一般	希も
『とある科学の超電磁砲』において、幼少期の|食蜂?操祈|が才人工房の研究施設で出会った個体。	動詞-一般	祈が
１９９９年、熊谷正寿、島貫慶太、|穐田?誉輝|らと広告オークションサイト「株式会社サイバーコム」を創業、取締役就任。	動詞-一般	輝ら
同期にアナウンサーの浦川泰幸、プロデューサー・ディレクターの|内片?輝|らがいる。	動詞-一般	輝ら
また、道真が無実のまま亡くなると、帝釈宮に日本鎮国の明神達が、召し集められ、天神に随身する者達により|勘糾|された。	動詞-一般	糾さ
米友協会は１１月１１日、金子堅太郎、|星?亨|ら１０名の建碑委員を選出した。	動詞-一般	亨ら
