|ＡＮＡＳ|はこの区間をここ３０年間で徐々にアップグレードさせている。	{"comment": "", "curid": 1225116, "id": 844600, "match_segment_pos": "UNK", "match_segment_surf": "ＡＮＡＳ", "query": "ＡＮＡ", "type": "OK"}
|あかいらか|は、ワタナベエンターテインメント所属のお笑いコンビ。	{"comment": "NE", "curid": 2681440, "id": 944791, "match_segment_pos": "名詞", "match_segment_surf": "あかい", "query": "かい", "type": "NG_SEG"}
|あっ|と|言わせるようなパズルがほとんどなく、やっていて退屈といら立ちが募った。	{"comment": "", "curid": 2547472, "id": 945852, "match_segment_pos": "感動詞--助詞", "match_segment_surf": "あっ--と", "query": "っと", "type": "OK"}
|あまつさえ|バードは自作に、次のように描写的な一節さえ書き入れている。	{"comment": "", "curid": 100587, "id": 946866, "match_segment_pos": "副詞", "match_segment_surf": "あまつさえ", "query": "さえ", "type": "OK"}
|あみじゃかん|は日本のヒップホップグループである。	{"comment": "", "curid": 1437732, "id": 947576, "match_segment_pos": "判定詞", "match_segment_surf": "じゃ", "query": "じゃ", "type": "NG_SEG"}
|いしかり|は、太平洋沿海フェリーが運航していたフェリー。	{"comment": "", "curid": 3417915, "id": 959070, "match_segment_pos": "名詞", "match_segment_surf": "いしかり", "query": "しか", "type": "OK"}
|いちねん|割引、ひとりでも割５０、継続利用割引、ハーティ割引とは同時契約出来ない。	{"comment": "", "curid": 1095668, "id": 965711, "match_segment_pos": "名詞", "match_segment_surf": "いちねん", "query": "ねん", "type": "OK"}
|いつか|もう|一度会う日、再びおまえの愛を得る事が出来るか否か。	{"comment": "", "curid": 1655253, "id": 966192, "match_segment_pos": "副詞--副詞", "match_segment_surf": "いつか--もう", "query": "かも", "type": "OK"}
|うかつに|は踏み込めない。	{"comment": "", "curid": 355529, "id": 969547, "match_segment_pos": "形容詞", "match_segment_surf": "うかつに", "query": "かつ", "type": "OK"}
|うましか|は、日本の漫画家。	{"comment": "", "curid": 1270662, "id": 970854, "match_segment_pos": "名詞", "match_segment_surf": "うましか", "query": "しか", "type": "OK"}
|おしか|も斬りつけられて頭と右肩に傷を負わされ、お紺はどうにかほかの者とともに店の裏口から表へと逃げた。	{"comment": "", "curid": 708227, "id": 972128, "match_segment_pos": "名詞", "match_segment_surf": "おしか", "query": "しか", "type": "OK"}
|おじゃま?ぷよ|の発生レートが高く設定されているため、宝箱に頼らない自力連鎖で相手を倒すのは困難。	{"comment": "", "curid": 1880031, "id": 972282, "match_segment_pos": "名詞", "match_segment_surf": "おじゃまぷよ", "query": "じゃ", "type": "OK"}
|おじゃま|のメーターが一番左へ行ってしまうと、客が全員帰ってしまう。	{"comment": "", "curid": 1174976, "id": 972280, "match_segment_pos": "名詞", "match_segment_surf": "おじゃま", "query": "じゃ", "type": "OK"}
|お粗末じゃ|ないかしら。	{"comment": "", "curid": 3331076, "id": 977671, "match_segment_pos": "形容詞", "match_segment_surf": "お粗末じゃ", "query": "じゃ", "type": "OK"}
|かつお?ラーメン|とは、鹿児島県枕崎市で、提供されているご当地ラーメンである。	{"comment": "", "curid": 1960187, "id": 979632, "match_segment_pos": "接続詞", "match_segment_surf": "かつ", "query": "かつ", "type": "NG_SEG"}
|かつぎ|娘、藤かつぎ娘とも。	{"comment": "", "curid": 95476, "id": 979636, "match_segment_pos": "動詞", "match_segment_surf": "かつぎ", "query": "かつ", "type": "OK"}
|かつぎや|は、落語の演目の一つ。	{"comment": "", "curid": 2492638, "id": 979635, "match_segment_pos": "名詞", "match_segment_surf": "かつぎ", "query": "かつ", "type": "NG_SEG"}
|かむながらのみち|は、１９９９年５月５日に横浜市磯子区岡村の地において立教された在家の宗教教団。	{"comment": "", "curid": 2301139, "id": 991715, "match_segment_pos": "名詞", "match_segment_surf": "かむながらのみち", "query": "ながら", "type": "OK"}
|かもしか|は動物の一種。	{"comment": "", "curid": 79936, "id": 991727, "match_segment_pos": "名詞", "match_segment_surf": "かもしか", "query": "しか", "type": "OK"}
|かもめんたる|は、日本のお笑いコンビである。	{"comment": "", "curid": 1773920, "id": 991731, "match_segment_pos": "名詞", "match_segment_surf": "かもめんたる", "query": "かも", "type": "OK"}
|かんきりこ|作画で月刊コンプエース２００５年６月号に掲載。	{"comment": "", "curid": 311574, "id": 993952, "match_segment_pos": "名詞--名詞", "match_segment_surf": "かんき--りこ", "query": "きり", "type": "NG_SEG"}
|がんも|や飛竜頭ともよばれる。	{"comment": "", "curid": 81773, "id": 995256, "match_segment_pos": "名詞", "match_segment_surf": "がんも", "query": "がんも", "type": "OK"}
|がんもどき|は、豆腐をつぶして、ニンジンやレンコン、ゴボウなどと混ぜて、油で揚げた料理。	{"comment": "", "curid": 81773, "id": 995255, "match_segment_pos": "名詞", "match_segment_surf": "がんもどき", "query": "がんも", "type": "OK"}
|くじゃく|座δ星の場合、金属量は以下の通り。	{"comment": "", "curid": 1612254, "id": 996777, "match_segment_pos": "名詞", "match_segment_surf": "くじゃく", "query": "じゃ", "type": "OK"}
|くだけた|表現やより長い音を表すため、波型の長音符を使用する事もある。	{"comment": "", "curid": 91585, "id": 996876, "match_segment_pos": "動詞", "match_segment_surf": "くだけた", "query": "だけ", "type": "OK"}
|くちばし|から|油を排出し体中に付着させることにより水分を弾いている。	{"comment": "", "curid": 94748, "id": 996889, "match_segment_pos": "名詞--助詞", "match_segment_surf": "くちばし--から", "query": "しか", "type": "OK"}
|けもの道|というお笑いコンビで活躍していたが、相方の不祥事により２００５年に解散。	{"comment": "", "curid": 768709, "id": 997482, "match_segment_pos": "名詞", "match_segment_surf": "けもの道", "query": "けもの", "type": "OK"}
|こそあど|の森に住むスキッパーはナルホドとマサカの二人組が海賊フラフラの宝を探していると推理する。	{"comment": "", "curid": 1381374, "id": 1023633, "match_segment_pos": "名詞", "match_segment_surf": "こそあど", "query": "こそ", "type": "OK"}
|このみ?プランニング|名義の著書もある。	{"comment": "", "curid": 2902756, "id": 1062570, "match_segment_pos": "指示詞--接頭辞", "match_segment_surf": "この--み", "query": "のみ", "type": "NG_SEG"}
|こんなんじゃ|走るワケがない。	{"comment": "", "curid": 2363516, "id": 1366313, "match_segment_pos": "形容詞", "match_segment_surf": "こんなんじゃ", "query": "じゃ", "type": "OK"}
|さあ|いっしょにやろうぜ。	{"comment": "", "curid": 2940093, "id": 1367191, "match_segment_pos": "感動詞", "match_segment_surf": "さあ", "query": "さあ", "type": "OK"}
|さえき|食品館の名称で多摩地域を地盤に営業している。	{"comment": "", "curid": 1064574, "id": 1367522, "match_segment_pos": "名詞", "match_segment_surf": "さえき", "query": "さえ", "type": "OK"}
|さながら|当時の民家同様、ほとんどバラック同然な車体であった。	{"comment": "", "curid": 11129, "id": 1368334, "match_segment_pos": "副詞", "match_segment_surf": "さながら", "query": "ながら", "type": "OK"}
|さりとて|帰せば斉の利の為に働き、ひいては秦の脅威となるでしょう。	{"comment": "", "curid": 642838, "id": 1393819, "match_segment_pos": "接続詞", "match_segment_surf": "さりとて", "query": "とて", "type": "OK"}
|しかお|は、Ｊリーグ鹿島アントラーズのマスコットである。	{"comment": "", "curid": 1175291, "id": 1394084, "match_segment_pos": "動詞--名詞", "match_segment_surf": "し--かお", "query": "しか", "type": "NG_SEG"}
|しかし|、１６日のｉＭＰＡＣＴ！にてアングルに奪い返されてしまい、わずか２日間の在位に終わった。	{"comment": "", "curid": 548027, "id": 1399686, "match_segment_pos": "接続詞", "match_segment_surf": "しかし", "query": "しか", "type": "OK"}
|しかしながら|、その語彙量は言語によって異なる。	{"comment": "", "curid": 11, "id": 1464123, "match_segment_pos": "接続詞", "match_segment_surf": "しかしながら", "query": "ながら", "type": "OK"}
|それとも|、彼らの語る神々が好ましいのか。	{"comment": "", "curid": 2866934, "id": 1766134, "match_segment_pos": "接続詞", "match_segment_surf": "それとも", "query": "それとも", "type": "OK"}
